Scientific Name,Common Name,EPBC Threat Status,EPBC Threatened Species Listed Name,EPBC Threatened Species Date Effective,Kingdom,Phylum,Class,Order,Family,Genus
Allocasuarina simulans,Nabiac Casuarina,Vulnerable,Allocasuarina simulans,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,Allocasuarina
Allocasuarina thalassoscopica, ,Endangered,Allocasuarina thalassoscopica,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,Allocasuarina
Allocasuarina tortiramula,Twisted Sheoak,Vulnerable,Allocasuarina tortiramula,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,Allocasuarina
Alloxylon flammeum,"Red Silky Oak, Queensland Waratah, Tree Waratah",Vulnerable,Alloxylon flammeum,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,Alloxylon
Almaleea cambagei,Torrington Pea,Vulnerable,Almaleea cambagei,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Almaleea
Ammobium craspedioides,Yass Daisy,Vulnerable,Ammobium craspedioides,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Ammobium
Ammoniropa vigens,Ammonite Pinwheel Snail,Critically Endangered,Ammoniropa vigens,24-Jan-14,Animalia,Mollusca,Gastropoda,Pulmonata,Charopidae,Ammoniropa
Amperea xiphoclada var. pedicellata, ,Extinct,Amperea xiphoclada var. pedicellata,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,Amperea
Amphibromus fluitans,"River Swamp Wallaby-grass, Floating Swamp Wallaby-grass",Vulnerable,Amphibromus fluitans,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,Amphibromus
Amphibromus whitei, ,Extinct,Amphibromus whitei,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,Amphibromus
Amyema plicatula, ,Endangered,Amyema plicatula,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Santalales,Loranthaceae,Amyema
Amytornis barbatus barbatus,"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",Endangered,Amytornis barbatus barbatus,6-Nov-14,Animalia,Chordata,Aves,Passeriformes,Maluridae,Amytornis
Amytornis dorotheae,Carpentarian Grasswren,Endangered,Amytornis dorotheae,5-May-16,Animalia,Chordata,Aves,Passeriformes,Maluridae,Amytornis
Amytornis merrotsyi merrotsyi,Short-tailed Grasswren (Flinders Ranges),Vulnerable,Amytornis merrotsyi merrotsyi,6-Nov-14,Animalia,Chordata,Aves,Passeriformes,Maluridae,Amytornis
Amytornis merrotsyi pedleri,"Gawler Ranges Short-tailed Grasswren, Short-tailed Grasswren (Gawler Ranges)",Endangered,Amytornis merrotsyi pedleri,6-Nov-14,Animalia,Chordata,Aves,Passeriformes,Maluridae,Amytornis
