,Species,Common_Name,Category,Presence_Type,Location,Kingdom,Phylum,Class,Order,Family
162,Aprasia pseudopulchella,Flinders Ranges Worm-lizard,Vulnerable,Endemic,SA,Animalia,Chordata,Reptilia,Squamata,Pygopodidae
163,Aquila audax fleayi,"Tasmanian Wedge-tailed Eagle, Wedge-tailed Eagle (Tasmanian)",Endangered,Endemic,TAS,Animalia,Chordata,Aves,Falconiformes,Accipitridae
164,Archidendron lovelliae,"Bacon Wood, Tulip Siris",Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
165,Archontophoenix myolensis,"Myola Palm, Myola Archontophoenix",Endangered,Endemic,QLD,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae
166,Arctocephalus tropicalis,Subantarctic Fur-seal,Endangered,Present,"AET, ANT, HI, OCE, TAS",Animalia,Chordata,Mammalia,Pinnipedia,Otariidae
167,Arctocephalus tropicalis,Subantarctic Fur-seal,Endangered,Vagrant,"SA, VIC, WA",Animalia,Chordata,Mammalia,Pinnipedia,Otariidae
168,Argynnis hyperbius inconstans,Australian Fritillary,Critically Endangered,Present,NSW,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae
169,Argyrotegium nitidulum,Shining Cudweed,Vulnerable,Present,"NSW, TAS, VIC",Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae
170,Aristida annua,,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae
171,Aristida granitica,,Endangered,Endemic,QLD,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae
172,Arthraxon hispidus,Hairy-joint Grass,Vulnerable,Present,"NSW, QLD",Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae
173,Asperula asthenes,Trailing Woodruff,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae
174,Asplenium hookerianum,Maidenhair Spleenwort,Vulnerable,Present,"TAS, VIC",Plantae,Polypodiophyta,Polypodiatae,Aspidiales,Aspleniaceae
